,content,sentiment
47,@breporter thanks much following muse much gratitude wish magnificent amp productive start day,1
48,nw macedonia rainy day row.,0
49,splitting headache,0
50,browsin thru video multiply saw video u sang bf. miss you n. miss you. pls come back wherever u r.,0
51,oh god...my favorite havaianas broke three year service missed. molded perfectly foot,0
52,@clockworkmelt lol feel like drunk right now...,1
53,@jonathanrknight still direct message me. hell complaining about c ya . u answer ask .,0
54,wow up coffee hand already outside. peaceful sunday mornings.,1
55,killer headache want food here,0
56,alkaline trio sweet save day sucked. great time anyways. awesome seeing everybody hangin,1
57,need hater ball today like dave chappelle man miss day comedy central new episode,0
58,@chemicalbullets thats sweet,1
59,@theclairemarie can t studying fail come over make u tortellini chicken chicken salad.,0
60,@tbake crap. always forget,0
61,keep receiving beautiful pic beach @charleymagne office working...getting bitter,0
62,@afiaa afaya who the handsome blue beast hhihihuahauu,1
63,got text guy like name guy do disapointing,0
64,http snipurl.com hqn printed mom amazon gift card happy mother day talk last minute.,1
65,wish see clip show hosted. hottie shawn s yes still hottie,1
66,@emilyyoung havin fun x btw isnt bowling x xx,1
67,@twlux e thanks following me. nice meet,1
68,bah still work. lol foot hurt nose stop running,0
69,@carolecross thank that know it.,1
70,strange day forget,0
71,arm hurt,0
72,fantastic full on weekend going finish high cheeky chilli thai fried rice amp glass red,1
73,@nova caine saw it made sad,0
74,sad face moment day,0
75,got paycheck... april bonus b deposited day rest gotta wait til mon.,1
76,listening band recommended sarrah really like friday night boy lt,1
77,@juenese totally felt bad guy. haha im good miss guy,0
78,@tracysummers im pleased hun,1
79,taking foreverrr @jess get im bored..,0
80,@jackalltimelow fun anyway..thanks taking pic u last minute,1
81,@andrew theme tune robin batman,1
82,home marble fall back reality,0
83,@emmaroo innerchild sarah like cooky sad feel sad guilty,0
84,@leoncen it. hehehehe u want torrent,1
85,early,0
86,ugh. hard upload picture twitter,0
87,new phrase you never doubt mo williams six game win streak,1
88,@freyalynn lol seriously. fail. sigh,0
89,@emulley missed today...i know must feel tired. give massage tonight,0
90,@despinacook least firmware upgrade. buying time get tax return really,0
91,@barrymanilow eh barry lol.tweet deck like prehistoric lol,1
92,upset.. friday night cry,0
93,@hannahsukter anywayss point dying spend summer somewhere hot guy,1
94,@kev watson sorry address wrong. put samuel address sam. stupid brain day today.,0
95,torn get extended warranty iphone mine run out jailbreak already got problem battery amp earpiece,0
96,havnt gotten month ex seems dating spark anymore still love loser left,0
97,@sabrina yes cant wait. hope vip pass help since people already campin hahah,1
98,@jadeeisabel nah mine @brydielonie one without finger,1
99,@aaronhoskins fucking miss band much,0
100,gotta church ten camera meeting finally d lol,1
101,hahaha yeah see that. can t twitter back,1
102,@montiasutton wish could really love u around ill see do.. try use national champ pull lol,1
103,@cryswinchester hahaah cry blowing fuse typical move,1
104,happy star war day may th,1
105,wishing @blacksocialite happy mother day,1
106,woo nacho ice cream haha,1
107,walmart playing hide seek.,1
108,wanna better already,1
109,arm hurt,0
110,@yinawu happy mother s day http bit.ly ijm my friend made video,1
111,nothing could get worse could it think id verge killing someone else thing good anymore,0
112,@eric andersen thank eric glad u appreciate that,1
113,@finalscorebg nice,1
114,tired. going take nap. finger hurts.,0
115,bit soul time mama visialize next living environent. speak soon.,1
116,@shebababy rebroadcast last week pacquiao hatton fight. plan night around it. said much already.,0
117,make want cry grown men discus character children.,0
118,painful sound world cry someone love. what s worse can t even hold say sorry,0
119,@lanceschmidt yeah kinda bummed tell gonna miss too loved class guy made student teaching fun.,0
120,@hithit missing jmichelle... told treat like step child smh,0
121,@shannongrissom @grannypig followfriday thank you still even close @gottalaff,1
122,waiting bus back cripple creek pick twizzler town seems kinda quiet tonite rolynn,0
123,yay firday.... good one everyone. way work lot s work pending.,1
124,still freakin missing game jonasnewsongs,0
125,@stormb part surrey either feeling quite bit nippy must say. afternoon,0
126,@biggabx yes fair lol,0
127,@xo nessa hiyaaa hannah asked wanted come girl aloud wil see skank money somwhere ï¿½ need,1
128,nice day look like going rain...just getting excited taking photo get home,1
129,camp rock @meltrev amp daddy yay,1
130,rest earlier good health. so say good nite all,1
131,bed. stomach ache,0
132,@aceconcierge glad got safe amp saw daughter. enjoy time there,1
133,@dhughesy safer say cube sphere ... roll buddy ... awesome time ... esp st one,1
134,tired hour work tomorrow,0
135,jelz. want house. gt,0
136,@kidcatastrophe cool hear guy . can t believe cherry hill week ago missed come back,1
137,@spencerkeasey yeah suck working nano take music off sad,0
138,@twtboxdj thanks mr. dj,1
139,@rubyredsocks yup day older,0
140,@smfibus feeling able get anything want long quot green. quot,1
141,@tommcfly sweet .. england becoming lamer lamer since guy left,0
142,bara boob closet adventure. aggghhhh enough muak mcm baby gary ku sudah,1
143,listening nin working break. almost good show..... rock extra hard @sarfabarfa,1
144,@affascinare hehee yea supposed sound mean.. hahhaa,1
145,@leod uk argh twitter didnt post reply tweet age aint much enjoying sun,0
146,got thinkin weird w out dog,0
147,@thewbdotcom sadly can t view site due region restriction,0
148,excited see samantha amp denise http plurk.com p rrid,1
149,@xmylifesastoryx rob got lucky game beat,0
150,@aianna @nandiaramos sadly not no. colleague work party,0
151,paris till friday,1
152,charlies roastbeef mostaza manejamos. wtf,0
153,new day new home happy mom day me,1
154,@mafeinberg least large vocabulary benefit writer hope well sister.,1
155,nd written fuck.. get less idea every day every day,0
156,@yumifujii miss y all back... give @lesleyboudy regards...,0
157,bah coworker ran work late bag smacked knee really hurt,0
158,miss vlogcandy,0
159,also really missing sami... thought would throw one there...,0
160,took dog off leash park today. overheated ran laid mud puddle splashed around. amusing,1
161,@adotevans im bad day,0
162,@whiteangle held out japanese people making origami animal darcy great time amazing place,1
163,@nethra one funny msg fb. time actual link today received message,1
164,certainly spring vail co. raining snowing mother nature know mountain closed ski season,1
165,ahh juz got new rapidshare account last till oct . gb download limit daily,1
166,@mahnameisjerik thank,1
167,bored work,0
168,@bookaliciouspam hey welcome va lol. muggy dc too. worst part summer say,1
169,@ankurb english screwed overall percentage x xii probably adm test too. shit happens.,0
170,already .c office. people melt fighting air con fan help can t find budget,0
171,think computer sick,0
172,@iamlittleboots recording eqpmnts out. full day mind gone blank. outfit g a y still nt arrived eitha,0
173,oowweee china club wuz poppin lipstic n pump full effect,1
174,amost,1
175,drink pm leaving shop medium light coffee frappuccino. nom nom nom,1
176,@hunabku swine flu victim unite http oinkflu.info,1
177,time snuggle bed electric blankie,1
178,@manbag awww love charlies enjoying lucky food lol,1
179,quot i think breaking heart trying keep together falling apart. quot,0
180,up. moooooorning http plurk.com p sudg,1
181,living life,1
182,@jonathanrknight going soon hoping hear late nite humor you....,0
183,@davidaldrich wx look like ohio tornado hit.,0
184,@inlovewitharmy timeeee mom say something daw tomorrow eh. never compelte,0
185,currently munching baby carrot nom nom nom nom...,1
186,dance gavin dance attack attack a skylit drive tonight exciteddddd,1
187,school today gd dont get see mate n millsy x,0
188,freaking tired. like body refuse move.,0
189,michael cera new movie,1
190,anyone else bad friday fun day today.,0
191,@brazilianlinda whoop totally read wrong. ahem. yes participating day may madness. ebook there.,1
192,going miss reemer couple month tour,0
193,building radio studio going podcast from. foundation called insight foundation,1
194,made work get feelin blurgh,0
195,really sad nephew keeping busy sorting item bwm http bit.ly ntsm,0
196,@drlebron welcome minnesoooooooota. free time trip catch up cliquot club though closed,1
197,@datadirt hahah okay thanks short explanation,1
198,usual. two family party today. happy birthday lily http twitpic.com w,1
199,sibling left alone. bored.,0
200,@hardrockchick super caught cold plane. far forward line like extra sleep dearly needed.,0
201,@asexynyfemale make sure well done,0
202,drink hot chocolate yummy.,1
203,still office...and sun shining,0
204,riley alphabet fashion show today forgot camera. cute,0
205,@glamorousamanda wish could pole got space maybe throw furniture get pole,0
206,boy sitting photo touching handshake allowed. asylm,0
207,@jeffpulver done book signing manchester. nice people there. enjoy week.,1
208,didnt leave voicemail.. inlove,0
209,@thelovelyj lmao back queen,1
210,@girlfromthemoon ...i yay moment today yay hope too,1
211,night dance party fun time amp awkward situation highlight driving w nim annie listening satellite window downnnn,1
212,@holly lol too. going am easy used,1
213,another amazing day. ever since got twitter great day,1
214,up. plan transform bedroom today. random.,0
215,screwed sat u,0
216,@anant unfair good rock show happen b lore pune,0
217,@pink can t wait see december switzerland third rendez vous great show amazing ... enjoy oz,1
218,@agesthegreat ugh amp didnt hit up ok lol jk. u doin here,0
219,slept in woke iced coffee lazed amp went late lunch bf. sweet little laid back saturday.,0
220,love sunshine happiness brings,1
221,@datdoodrace thts kinda young me boo.,0
222,millys yummy asian food haha. listening let go sad song,0
223,lost dc hat ..,0
224,@fixxatedstar aww thank soulmate haha.,1
225,@donttreeriddle oh no melted ice cream want.,0
226,@kelly straycat sorry like people like feel well. tummy,0
227,fell stair dancing sword fell bum hurt,0
228,gonna miss gurl shes honeymoon,0
229,@vinylvickxen kno doooo yall partyin,1
230,@wcharlie register first thing wake tomorrow. looking forward back forum too,1
231,hate car place lt jx gt,0
232,@flyaarmy @aduvall @flyingphotog @foxwhisperer brief interruption brb. goodnight catch u later. gotta ck something,0
233,@rove looking forward show tonight. can t wait ol mate @dhughsey,1
234,thank google adsense payment. aussie dollar strong,0
235,@madinafire buying copy today excited need learn friday good luck sheffield,1
236,want part window clubhouse wl space blog random place share window stuff,0
237,@hayfa welcome,1
238,got la miss hawaii already dang,1
239,haiszt.. im office nothing tweet haha fun,1
240,clubs...no parties...ive spent friday saturday night workin music quit content,1
241,simple greeting unexpected people actually lighten mood ever happen you,0
242,good morning all fabulous morning here,1
243,roxy right. palmade stuff pretty cool,1
244,happy star war day may fourth,1
245,@mkasper thank,1
246,bye twitter amp fb world san francisco airport ready board air china. sure internet access,1
247,way early today work later.,0
248,http twitpic.com woxi btw concert freaking awesome,1
249,thing really demand lot time anyways gotta get breakfast watch naruto s latest episode,1
250,@iamdiddy me. ex boyfriend year we broke month ago engaged gf weeks. sad embarrassed. hug,0
251,call wierd jus luv rainy day make feel warm amp cozy inside lol,1
252,waaaaaaaa kicked u bank. getting monday omg chilito,0
253,young love come end,0
254,surprise party today party tomorrow. funfunfun but need finish bug project. o o,1
255,back home. moment iï¿½m speaking aunt telephone darius neighting backround... miss little horse,0
256,@under control aw babyy sorry gots excited haha. lt,1
257,yahoo volleyball hiking eating fish eye witnessing sleeping beach jumping rock amp hanging jurassic park filmed,1
258,went world education fair today. whole different kind circus.,1
259,@whatsyourcrime ok replying happy mother day indeed,1
260,@moco love lamp sydney australia,1
261,@nizhonipetphoto wannna go wanna go anywhere jersey,1
262,saw amazing heeels. big,0
263,planted flovers school garden yr old...very mucky great fun,1
264,@abbeyemm haha. like him go,1
265,happy star war day,1
266,bed happy mother s day great one,1
267,sure let mom know fabulous think are almost mother s day.,1
268,almost fell asleep hair dryer tired feel like going puke,0
269,ohh tooth hurt ohh im sad hurt,0
270,@jessicaca yeah know dealin yr,0
271,@wordydirts thanks first lol,1
272,@lclaurenconrad can t wait see tonite hilarious,1
273,trying deny beginning miss more every single day apart ... need sprite haha,0
274,@colbertobsessed lucky mom paid everything me. take shopping,1
275,@joewitless nightmare huggles,0
276,oops forgot barbecue work today need pack lunch,0
277,allo twitter today,1
278,well done yet thing left huaaahhhhh jupaa resaaaa awas kaliaaannn,0
279,@hot please short stakc competition,0
280,listening new demo song going fantastic done,0
281,miss @baltigirl gone whoolllleeee weekend boo hoo,0
282,evaluating people...dont like part job,0
283,home. tonight fun thanks,1
284,@elengrey yay lucky what d do,1
285,got as kicked tripoly lol got bad cards... suck,0
286,warwick castle http snurl.com izzau amazing devon week...no internet update,1
287,friday yay bonus drive wale tonight. athough miss kitten cuddle going ride,1
288,checked email got follower withb name living oz. welcome board alrer ego @changa,1
289,@izzyj is here oh hun sorry... everything through last thing deserve unhappy home..,0
290,@hellolizzi oh hahah thats ok,1
291,@detrick hey glad friday happy ate bad apple,1
292,@leeye yep trying beat cold winter. morning swim always refreshing good start day,0
293,@kerlikoiv familiar.....sorry feeling way,0
294,good morning...hoping throw back coffee like right now,1
295,@peoplebrowsr nice new profile picture glad see friend,1
296,@xojennypennyxo like you,1
297,@nkeathley tried join chat site would let sign,0
298,favorite curling iron broke,0
299,@mikeyunderwood rice crusty bread chili .... aawww,0
300,http twitpic.com xn miss already,0
301,good night im sleeep good mornining xd,1
302,@garrettmurray here wanted keep going end... ever,1
303,didnt get hug today,0
304,@ubernostrum really ought pay attention phone tweets... sure moives better.,1
305,come join fun first pitch legend game... may th @ pm http tinyurl.com nkpuz,1
306,twitter fail life sometimes. oh well. http tinyurl.com qkxhq,0
307,hungry can t eat anything right tongue hurt bad.,0
308,@wildcurl well still can t wait one shot.,1
309,@bsaeed nice meet tonight amp thanks,1
310,finally found new flat.,0
311,spending weekend working.. even sound fun,0
312,good morning,1
313,@tam looked page realised radio show get play call want love track,1
314,wishing warped tour came london canada.....,1
315,work im ina good mood,1
316,need break need kitkat haha,1
317,sick today,0
318,@sashagrey since reading twilight series watching underworld today gotta say...perfect pic day,1
319,sunny day brights day,1
320,@marisatangorra handwriting isnt them. everyone making fun im sitting myseld lrc,0
321,hahahahaha rember riped william picture one claires mags. beated zoe,1
322,new supernatural tonight,1
323,morning everyone,1
324,sister stupid party amp amp wanna hang friend hilly txt back...,0
325,feelin really awful. mono sux much. omg...listening music,0
326,@ringorang today. wrong answer row. brain s working today.,0
327,@ohitsbigron dang... disappointing,0
328,changed hairstyle but good supposed be n think wealthed much money.. hate hairdresser,0
329,beautiful day... im working leaving get sun though,0
330,@lauratheexpat bit little britain u,1
331,stupid shopping bag left red mark arm,0
332,well that s last fabs gone,0
333,seriously heartbroken,0
334,rain rain go away. cancel pool plan tragic.,0
335,finishing giraffe getting sleep. super excited tomorrow,1
336,wreck. getting real sore now. fault insurance. planning go wedding tonight,0
337,@epicwinmaster thats great,1
338,feeling like crap today. hopefully nice relaxing swim trick,0
339,@itsonlytuesday would working today.,0
340,smell pancakes...or maybe toast... something delicious. one place cooking,0
341,sum plz cheer,0
342,@gengenw know make sad lol,0
343,missed britain got talent gutted.,0
344,ooh hayfever struck..thought going avoid year nooo remedy anyone...,0
345,well twitts waiting response @dawnrichard partying good time so maybe day,0
346,proud b trekkie . new star trek movie ruuullzzz,1
347,@lapix thanks ennio,1
348,finally x men origin wolverine arrived time play game like mad man time review patrick,1
349,chicago pretty much sold tshirts,0
350,got work late. lame busy day.,0
351,@deevazquez lol. offering case guiness one her buy two stay. let s start bidding war,0
352,. mile run meter swim thing looking better better... laying bike today,1
353,soo sick. hate life,0
354,@theshoctor @pezhore @ovisuals @nvls victory need reinstall damn apps.,1
355,@lemurtoes pretty good actually lame episode otherwise good. give try,1
356,sorry delay publishing week show technical difficulty encoding. asap may saturday.,0
357,@strabismus try ignore..just noticing new m.o. s . love sonic drinks. cherry limeade mmm,0
358,good morning everyone,1
359,waking ungodly hour go work starting get old. least coffee good,0
360,think shopping solves world s problems. leave atlanta tomorrow,0
361,watching loudquietloud documentary ever awesome pixies. realised joey santiago david lovering twitterers. fantastic,1
362,headed home.. sea world closed early,0
363,@tayler nicole wow lucky happy birthday,1
364,@simplykia iight gonna miss tonight,0
365,@joejonasfan know too,1
366,peep coming chi twn today weekend hang w dont time always workin,0
367,tree lined avenue begin fade view drowning past regret tea cigarette but cant seem forget when came along,0
368,back home...had great day http plurk.com p svkc,1
369,watching shark boy lava girl disney channel. hanging sarah jane micah amp rachel,1
370,@taufiqz watched too liked,1
371,amazing hollyoaks poor warren lmao,0
372,@mssbxny artery tomorrow. hagen daz,0
373,@avas writer aww one,0
374,@rachyzilla still infamous liverpool store manager helped set said awesome y,1
375,lost friend didnt anything,0
376,wish laying sand listening wave crash shore,0
377,lovely degree right am. amazing. enjoy melting vegas. l,1
378,@watchmerise youre welcome....you deserve it,1
379,mom say get new phone immediately....off t mobile. paying....,1
380,yay back home,1
381,recovering mexican fiesta. bit much good time,1
382,am. think time bed. good night twitts.,1
383,wanna get dressed adult today.,0
384,dammit cant watch stadium music,0
385,@steve berra happy bday stevie bee...and u want follower u get little tweety may baby r best th,1
386,wishing going tonight wait tomorrow.,0
387,got gym w no energy,0
388,@karshka hey. coming town weekend day next friday.,0
389,@janevans lol love macbook too. oh imac. can t decide love more. ok quot imac trump quot macbook,1
390,@wesleyadamquinn missed chicago show boo me.,0
391,may unintentionally snubbed someone due ineptness shyness. feel badly,1
392,feel like fish. im big glass car dealership looking world people walking fun sun im stuck here.,0
393,happy crepe again,1
394,really want see cash cash,1
395,jonas rocked tonight going bed write lil bit... night bless,1
396,okay really going now...stop making laugh like that,1
397,@petiteantoin oh that s cool thanks,1
398,@oliviamunn pretty lame babe,0
399,@mrcartersnurse congratulation mom tomorrow buenas noches,1
400,@nathanschultze haha. that s awesome. good job,1
401,huge test parent house. food good stuck one helping seconds. feel good.,1
402,think ever played fun suck marketing promotion..,0
403,ex make cry. wish stronger,0
404,still awake smh.... suck,0
405,live pv migrates vmware vsp exam magento config quiet weekend party central,1
406,good morning tweeties today rested richmond ready hit beach,1
407,glorious week. best holiday ever think. want go home morning,1
408,catching last bit later jools .. last series .. sob cry,0
409,going beautiful day,1
410,cry hard.......,0
411,eating dillybar dq yuuum,1
412,getting bored sitting hotel room entire day,0
413,dad tv loud. get creeped cuz im dodgy neighbourhood someone bush.,0
414,@mitchelmusso wont work uk,0
415,sad leave beautiful apartment,0
416,omg again... buying dvd yeahness another good movie also thanks movie buddy ],1
417,im really sleepy want go bed...but upstairs mess know im gonna clean nooooo,0
418,@epiphanygirl upset get tickets... time fav artist one venue,0
419,head feel sooooooooooo much better,1
420,thanks much following keep date much possible makeup line plus new collection,1
421,who going see reemer wednesdayy kirsty going a im well exited,1
422,@amber benson loved it continue delight u amber. great job backing video @adambusch. kudos.,1
423,limo ride city dinner cruise harbour makeover amp foot back massage yay .. hope fella get,1
424,gonna go brother show still feeling like poo,0
425,missing @meldibiase... day can t pas quick enough,0
426,@donnyosmond excited booked ticket vega we live uk can t believe price show ticket,1
427,nevermind beyonce twitter haha,1
428,@happy pill punching bag here ive never touched it covered brother s sweat.. u use u want hehe,1
429,@camilleprats happy mother s day,1
430,http twitpic.com jdkq got new belt sheriff star,1
431,added minute morning sleep cutting useless today show. feel nice,1
432,@lea ada franco working again woo hoo ala unable obtain elita daughter.,1
433,alright rawknroll.net live radio.org next hour vivid spring summer music rawk enjoy,1
434,@jtsui wish could sat thats super busy day sunday perhaps playing football dolores park too youre welcome come hang,1
435,@ralfrottmann thank s ... see i m back smiling,1
436,@marcooth great obviously check twitter often know important stuff thats going,1
437,@aplusk awww here...waz uuuup seriously glad y all fun. bad invite got lost mail lol. peace. xo,0
438,fyi ruin hollywood closed. last friday closing night.,0
439,happy juddday everybody,1
440,@evonmichelle mum s. lol got anything yet. sad sad... haha,0
441,@jaimedr thanks recommendation,1
442,found swing set sale block home super cheap. want kid one answering phone listed,0
443,@proctorsarm least posada good ab,0
444,aww. glad obscenely late early hour. found forest kline engaged.,1
445,set chuck bass new york palace hotel. bad filming today. http twitpic.com nht,0
446,@majayy miss too,0
447,@richardmadeley oh final msg review boardgame bookchaseï¿½ telly even get nice letter..,0
448,mowing . hate lawn,0
449,@marano aww thanks babe plan tomorrow,1
450,@the sandman @grave wound @hursty @samvoaden miss guy much xx,0
451,pool orlando got new kick going seaworld tommrow miss best friend,0
452,@mandypandy thanks hon project bra start today,1
453,@amypredsfan oops..too late. already popped bridge since missed tv. i lt blair amp jo too,0
454,@okayray thanx bday wish ray,1
455,@brrridgett already know happens supernatural.,1
456,@kelseyj xo hey chick u alryt u dad tmoro sud sumin aen like last week neva dun oot week lol missed ha bye hun xxx,1
457,life suck ur fun.,0
458,spent minute book store. bought one book.,0
459,@emilygrace bhb went concert remember derek mark hosting miss seeing bhb grove.,1
460,reckon could live yogurt week good selection flavor,1
461,gym day hoping enjoy last friday twenties.,0
462,happy mother s day,1
463,@feliciaodg screen dark click it hang whoever im talking,0
464,aaaaaw want live usa,0
465,@jbrigante haha. drink . cheat day,1
466,@arlastouch nothing yet still looking....but let sure lunch next week,1
467,happy juddday,1
468,didnt know starwars day,0
469,@themadmodel soooo happy back,1
470,@nobilis feel pain. mine way,0
471,snl justin timberlake,1
472,@marnixtfn ahahahah hello welcome twitter got hang already xx,0
473,@telesilla indeed. thanks sharing that go sleep giggling. night,1
474,long sunbathing burnt,0
475,awake wishing wasn t. feel like head may explode. going try go back sleep.,0
476,missing used,0
477,@tommcfly ahhhhhhh th birthday cant belive found im seeing yous tonight best present everr lt,1
478,@wojohitz @marchingstars @winkiedinkie @erockett feel left out... alone az...lol,0
479,@lexymez thanks much alex best wish day,1
480,@mariaandros gun rose baby yay hopin would blip.fm,1
481,belting next normal fabulous evening choice,1
482,@laurenlovesjb can t. grandma probably phone. get aim,0
483,got done turning pre final project computer animation class. final due tues. class weeks.,1
484,@lynnftw know exactly saying.. cool... tape better p,0
485,getting puppyyy name him think romeo cute.,1
486,look like sun making comeback midwest happy monday,1
487,@scalzi happy frickin birthday try bitter sharing day lovely wife mother there.,1
488,miss @billiesyadrie sorry able call u already sleep love you have great trip tomorrow send them,0
489,garden. making picture weed sweep. weather nice see lter people,1
490,@shanesakata hi shane link seem work,0
491,ok shoe club cool. fun poppin except ppl tryna dance wit,1
492,urge go shopping.hmmm got money how,0
493,ready weekend sad office tomorrow morning,0
494,lol. mom present cost dollars.,1
495,@macmuso hobart sorry,0
496,please please anyone,0
497,yay go wyattt totally amazing im happy you. yay,1
498,oh yeah radio playing earth wind fire,1
499,@traceeellisross all. miss girlfriend seasons.,0
500,@honeyfaery @that kat begged mum lt get attic.. wont let waaa... yes spoilt hehe,0
501,d died whatta letdown,0
502,@koifusionpdx another day find you. ended trying another cart can t remember name. sigh,0
503,@simonrim cheese counter go thanks,1
504,@myapplestuff oh cute... uniteddogs.com poppy,1
505,right @adrianmw,1
506,@baggers haha yeah,1
507,missed @tapulous giving away ttc code,0
508,@renegadepr cool. looking forward. san francisco really nice. make napa though maybe next time.,0
509,happy morning everyone,1
510,wish parent put chinese school younger. then much easier get job...,0
511,@shellykramer fever past hours. see me. unshaven puffy face look pathetic,0
512,@roar fear me well thank much spending lot time behind pc focus determination,1
513,thanks gourmetcook cold shower help.,0
514,@redmummy glorious weather poor,0
515,@adambmusic ik feel sooo bad,0
516,@myersandchang not.,0
517,cold,0
518,@laydmaxix aww keep sending,1
519,@stargirlreads cantttt. grandparent here.,0
520,first day work im excited lay place everything is.. well job,0
521,@deejai nice meet toooo good know another one follower actually speak,1
522,work ... thanks ppl getting freakin starbucks. peace ppls,1
523,trying figure whole quot twitter quot thing thanks scott amp allison...now can t concentrate work,0
524,sorry @sanderschenk misspelled twice already. im notgiving up run http blip.fm jjxr,1
525,ok everyone im stuck bored ill,0
526,second year,0
527,@teemwilliams michelleeeeeeeeeeeemybelleeeeeeeeeeeeeeeeee snif snif,0
528,averaged per hour work today gotta love holiday,1
529,want transfer naini trip picture my comp upload thm web bt dnt hv usb snt via multimedia @ r pic. expnsiv,0
530,back reality... boo,0
531,god early. hayley still asleep today party day getting stuff ready. x,1
532,@robineccles indeed get song however unable listen.,0
533,@amedawg haha that s great. yeah zachary quinto spock really awesome indeed,1
534,@bellabellini yeah know fuck annoying that... it s good promo... lost contact business,0
535,@michellecorydon thanks,1
536,back best party ever,1
537,@glamvoy yes think unless changed. sent u happy mother day text u never responded back,0
538,@elf princess hehehe barry killer u need pic,0
539,@ozzblair hug bad day having,0
540,@kixsal star trek imax d huge screen. still worth watching.,0
541,feeling lonely,0
542,week one day go.,1
543,first day new job bought new clothes already employee discount,1
544,@sparkin sorry missed farm today dm would like photo today,0
545,phone keep beeping me... thanks alan speeeeeen,1
546,came home sister spent night,0
547,@impala guy past ok since iï¿½ve got appartment car........itï¿½s difficult save money,0
548,uploading pcd onto itunes xd used certian event caused lt sadly,0
549,eating chatting computer.. really bored think going tea haha. listning s music wooho lt,1
550,@b luca lol glad see one there,1
551,@pyroezra know wish would. wanna cuddle sleeep ga go world coke,1
552,going miss miss suhana,0
553,@lancearmstrong chance seeing race germany unfortunately hardly tv amp news coverage cycling anymore,0
554,@mollieandme hello sooo awesome dont ever stop haha make fall chair laughing x,1
555,@kateisbored feel way guess matter always memes.,0
556,list park closure calaveras big tree sp headed weekend. glad visiting late.,1
557,thx tip. figure one out,1
558,@furlongthedog welcome twitter hoped long saw light joined u,1
559,@vulcansmuse @lorirusso still waiting beer moldovan. least happy came.,1
560,good day... havent good week forreal,0
561,@melissajeanine ew. sorry zach,0
562,goooooood morning,1
563,cant hear anything outta left ear,0
564,@sarahjpin good work.i ve managed turn studio on... envy productivity,1
565,@oceancity thank you. blast,1
566,trying sweet lil ipod... totally nerding out. and... totally ok,1
567,@crypticirnangel thats bummer got one yet waiting year grrrrrrrrrrrrrrr,0
568,@outside jo tak nic,0
569,seen star trek guy can t spoil seen it go. go now.,1
570,@ellyaway know june ... gonna good. im going se even im come out.,1
571,dream last night singing first avid dream crooning away,1
572,@aidadoll think gangsterrr as even fit g unit. amp know,1
573,karaoke small town bar. wonderful time,1
574,fun webcamming caroooo,1
575,... need retail therapy bad. ahhh.....gimme money geebus,0
576,got home dinner really really full. mom said dad bought sony ak holyyyyyyy,1
577,ready go milan see ya ll evening..,1
578,read pretty awesome web comic today. there s nothing really good woot today http myloc.me gf,1
579,that s okay... want watch shelby anyway,0
580,@poynterjones join jealousy l,0
581,orange pineapple banana smoothie long hard day heaven,1
582,s retro prom wishing dance with gonna miss great dancing nite still blast amp drink,0
